X,Y
50.930851063829785,19.250405667471405
9.840425531914894,79.0279811611984
17.420212765957448,79.5345707840266
84.30851063829788,59.5242806823129
50.398936170212764,34.44809435231725
83.37765957446808,80.04116040685479
73.93617021276596,84.85376182372264
51.59574468085106,70.41595757311909
47.20744680851064,59.2709858708988
94.54787234042553,87.38670993786361
77.12765957446808,81.05433965251117
25.465425531914892,46.606245300193926
5.194148936170213,20.739597942964004
55.526595744680854,53.657472339099265
